timestamp,external-temperature,month,day,longitude,latitude,altitude
2008-03-10 00:01:42,15.0,3,10,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-10 04:02:55,14.0,3,10,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-10 08:01:50,14.0,3,10,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-10 12:03:10,14.0,3,10,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-10 16:03:10,13.0,3,10,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-10 20:01:11,16.0,3,10,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-11 00:01:26,11.0,3,11,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-11 04:03:08,12.0,3,11,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-11 08:02:00,12.0,3,11,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-11 12:03:04,21.0,3,11,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-11 16:02:10,17.0,3,11,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-11 20:01:24,14.0,3,11,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-12 00:01:50,10.0,3,12,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-12 04:01:42,12.0,3,12,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-12 08:02:23,10.0,3,12,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-12 12:01:23,20.0,3,12,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-12 16:02:15,18.0,3,12,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-12 20:02:22,13.0,3,12,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-13 00:01:24,11.0,3,13,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-13 04:02:23,12.0,3,13,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-13 08:02:42,10.0,3,13,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-13 12:02:37,23.0,3,13,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-13 16:01:43,20.0,3,13,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-13 20:02:23,16.0,3,13,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-14 00:01:23,13.0,3,14,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-14 04:03:05,10.0,3,14,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-14 08:01:56,12.0,3,14,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-14 12:02:21,19.0,3,14,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-14 16:00:54,20.0,3,14,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-14 20:01:53,10.0,3,14,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-15 00:03:05,12.0,3,15,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-15 04:02:21,9.0,3,15,10.981444358825684,46.006832122802734,705.0753784179688
2008-03-15 08:01:37,17.0,3,15,10.981444358825684,46.006832122802734,705.0753784179688
