timestamp,longitude,latitude,external-temperature,altitude
2010-03-15 04:00:42,-111.4474965001212,57.12680590112471,8.0,303.67
2010-03-15 07:00:47,-111.45151939918334,57.12743920072186,6.0,308.09
2010-03-15 10:01:23,-111.45047989920766,57.126774500904816,6.0,302.36
2010-03-15 13:00:23,-111.4519952006984,57.12735540111181,4.0,304.6
2010-03-15 16:00:44,-111.44549930080692,57.126645700585215,8.0,309.25
2010-03-15 19:00:27,-111.44550649968922,57.12659580088178,11.0,318.79
2010-03-15 22:01:11,-111.44448780020738,57.12683200095164,17.0,291.08
2010-03-16 01:00:49,-111.4440236000259,57.12672900081774,14.0,304.44
2010-03-16 04:00:48,-111.44394069933732,57.12706010045834,10.0,304.42
2010-03-16 07:00:42,-111.445062400292,57.12766130046786,9.0,290.92
